2026-02-03 04:59:50 [INFO]: Loading Overrides...
2026-02-03 04:59:50 [INFO]: Loading World Types...
2026-02-03 04:59:50 [INFO]: - World Type for 'world' set to 'NORMAL'
2026-02-03 04:59:50 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2026-02-03 04:59:50 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2026-02-03 04:59:50 [INFO]: Loading Defaults...
2026-02-03 04:59:50 [INFO]: Loading Custom Worlds...
2026-02-03 04:59:50 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2026-02-03 04:59:50 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2026-02-03 04:59:50 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2026-02-03 05:00:27 [INFO]: Addon LOGGER has been enabled!
2026-02-03 05:00:27 [INFO]: Addon PORTALS has been enabled!
2026-02-03 05:00:27 [INFO]: Addon EXTRAEFFECTS has been enabled!
2026-02-03 05:00:27 [INFO]: Addon PARTY_RTP has been enabled!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2026-02-03 05:00:31 [INFO]: Database COOLDOWN:spawn configured and loaded!
2026-02-03 05:00:32 [INFO]: Database QUEUE:Queue configured and loaded!
2026-02-03 05:00:32 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2026-02-03 05:00:32 [INFO]: Database PLAYERS:Players configured and loaded!
2026-02-03 05:04:23 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 37, location= x: 495, y: 53, z: 913, world: world_the_end
2026-02-03 05:04:27 [INFO]: Queue position generated: id= default_world_the_end, database_ID= 38, location= x: 817, y: 57, z: 667, world: world_the_end
2026-02-03 05:04:28 [INFO]: Max attempts to create a Queue reached for default_world_the_end (amount: 6)
2026-02-03 05:04:28 [WARNING]: Seems like the world `spawn` does not have a `WorldType` declared. Please add/fix this in the config.yml file! This world will be treated as an overworld! If this world is a nether world, configure it to NETHER (example: `- spawn: NETHER`
2026-02-03 05:05:25 [INFO]: Max attempts to create a Queue reached for default_spawn (amount: 0)
2026-02-03 05:05:26 [INFO]: Queue position generated: id= default_world_nether, database_ID= 39, location= x: -867, y: 72, z: 200, world: world_nether
2026-02-03 05:05:52 [INFO]: Queue position generated: id= default_spawn, database_ID= 40, location= x: -92, y: 1, z: 19, world: spawn
2026-02-03 05:05:53 [INFO]: Queue position generated: id= default_spawn, database_ID= 41, location= x: -43, y: 38, z: -233, world: spawn
2026-02-03 05:06:23 [INFO]: Max attempts to create a Queue reached for default_spawn (amount: 2)
2026-02-03 05:06:24 [INFO]: Queue position generated: id= default_world_nether, database_ID= 42, location= x: 356, y: 67, z: -94, world: world_nether
2026-02-03 05:06:26 [INFO]: Queue position generated: id= default_world_nether, database_ID= 43, location= x: 807, y: 93, z: 773, world: world_nether
2026-02-03 05:06:28 [INFO]: Queue position generated: id= default_world_nether, database_ID= 44, location= x: -801, y: 99, z: 179, world: world_nether
2026-02-03 05:06:29 [INFO]: Queue position generated: id= default_world_nether, database_ID= 45, location= x: -127, y: 157, z: 80, world: world_nether
2026-02-03 05:06:32 [INFO]: Queue position generated: id= default_world_nether, database_ID= 46, location= x: -130, y: 76, z: -218, world: world_nether
2026-02-03 05:06:34 [INFO]: Queue position generated: id= default_world_nether, database_ID= 47, location= x: 559, y: 33, z: -852, world: world_nether
2026-02-03 05:06:36 [INFO]: Queue position generated: id= default_world_nether, database_ID= 48, location= x: -270, y: 33, z: 893, world: world_nether
2026-02-03 05:06:38 [INFO]: Queue position generated: id= default_world_nether, database_ID= 49, location= x: 907, y: 69, z: 225, world: world_nether
2026-02-03 05:06:40 [INFO]: Queue position generated: id= default_world_nether, database_ID= 50, location= x: 305, y: 37, z: -120, world: world_nether
2026-02-03 05:06:41 [INFO]: Queue position generated: id= default_world_nether, database_ID= 51, location= x: -138, y: 32, z: 273, world: world_nether
2026-02-03 05:06:44 [INFO]: Queue position generated: id= default_world_nether, database_ID= 52, location= x: -820, y: 62, z: -704, world: world_nether
2026-02-03 05:06:48 [INFO]: Queue position generated: id= default_world_nether, database_ID= 53, location= x: -76, y: 38, z: 365, world: world_nether
2026-02-03 05:06:50 [INFO]: Queue position generated: id= default_world_nether, database_ID= 54, location= x: 747, y: 72, z: -537, world: world_nether
2026-02-03 05:06:53 [INFO]: Queue position generated: id= default_world_nether, database_ID= 55, location= x: 634, y: 59, z: -523, world: world_nether
2026-02-03 05:06:55 [INFO]: Queue position generated: id= default_world_nether, database_ID= 56, location= x: 325, y: 70, z: 124, world: world_nether
2026-02-03 05:06:58 [INFO]: Queue position generated: id= default_world_nether, database_ID= 57, location= x: -187, y: 49, z: -884, world: world_nether
2026-02-03 05:07:00 [INFO]: Queue position generated: id= default_world_nether, database_ID= 58, location= x: 693, y: 49, z: -773, world: world_nether
2026-02-03 05:07:03 [INFO]: Queue position generated: id= default_world_nether, database_ID= 59, location= x: -775, y: 62, z: 223, world: world_nether
2026-02-03 05:07:05 [INFO]: Queue position generated: id= default_world_nether, database_ID= 60, location= x: -911, y: 59, z: 105, world: world_nether
2026-02-03 05:07:07 [INFO]: Queue position generated: id= default_world_nether, database_ID= 61, location= x: 32, y: 35, z: -993, world: world_nether
2026-02-03 05:07:10 [INFO]: Queue position generated: id= default_world_nether, database_ID= 62, location= x: -551, y: 92, z: -525, world: world_nether
2026-02-03 05:07:14 [INFO]: Queue position generated: id= default_world_nether, database_ID= 63, location= x: -309, y: 54, z: 714, world: world_nether
2026-02-03 05:07:17 [INFO]: Queue position generated: id= default_world_nether, database_ID= 64, location= x: 458, y: 102, z: 851, world: world_nether
2026-02-03 05:07:19 [INFO]: Queue position generated: id= default_world_nether, database_ID= 65, location= x: -694, y: 51, z: -436, world: world_nether
2026-02-03 05:07:23 [INFO]: Queue position generated: id= default_world_nether, database_ID= 66, location= x: -129, y: 38, z: -863, world: world_nether
2026-02-03 05:07:26 [INFO]: Queue position generated: id= default_world_nether, database_ID= 67, location= x: -584, y: 86, z: 185, world: world_nether
2026-02-03 05:07:28 [INFO]: Queue position generated: id= default_world_nether, database_ID= 68, location= x: -909, y: 50, z: -190, world: world_nether
2026-02-03 05:07:32 [INFO]: Queue position generated: id= default_world_nether, database_ID= 69, location= x: 908, y: 146, z: 380, world: world_nether
2026-02-03 05:07:34 [INFO]: Queue position generated: id= default_world_nether, database_ID= 70, location= x: 149, y: 130, z: 110, world: world_nether
2026-02-03 05:07:36 [INFO]: Queue position generated: id= default_world_nether, database_ID= 71, location= x: 226, y: 125, z: 809, world: world_nether
2026-02-03 05:07:39 [INFO]: Queue position generated: id= default_world_nether, database_ID= 72, location= x: -112, y: 179, z: -297, world: world_nether
2026-02-03 05:07:40 [INFO]: Max queue reached for default_world_nether (amount: 32) lastCount: 1
2026-02-03 05:07:40 [INFO]: Queueing paused, max queue limit reached!
